N	capacity	"samples insertion Ave[ms]"	"insertion unbiased SD[ms]"	"deletion Ave[ms]"	"deletion unbiased SD[ms]"
10000	4	50	3.32	0.614	2.96	1.296
31622	4	50	12.02	1.01	10.1	0.5
100000	4	50	65.68	2.983	50.06	3.807
316227	4	50	367.4	25.436	220.84	4.406
1000000	4	50	1951.12	46.722	875.48	5.763
3162277	4	50	8980.36	333.096	3346.9	33.093
10000	8	50	2.24	0.55	2.06	0.31
31622	8	50	10.46	2.229	7.18	0.517
100000	8	50	46.88	8.854	33.28	3.633
316227	8	50	252.28	15.78	153.18	3.416
1000000	8	50	1177.28	10.517	644.82	2.527
3162277	8	50	5778.76	133.598	2439.64	14.87
10000	16	50	2.3	0.574	2.04	0.28
31622	16	50	9.5	1.526	7.18	0.517
100000	16	50	35.26	3.155	29.64	1.706
316227	16	50	201.24	21.991	139.06	6.166
1000000	16	50	970.26	20.219	606.34	13.154
3162277	16	50	4620.92	117.392	2250.54	20.273
10000	32	50	2.06	0.42	2.04	0.28
31622	32	50	9.46	1.59	7.1	0.458
100000	32	50	35.96	2.029	27.26	1.11
316227	32	50	169.04	8.06	124.18	3.626
1000000	32	50	881.18	13.949	568.06	4.235
3162277	32	50	4384.6	29.322	2056.26	8.165
10000	64	50	2.1	0.458	2.04	0.28
31622	64	50	9.74	1.671	7.08	0.44
100000	64	50	35.16	1.901	26.84	0.924
316227	64	50	169.22	5.486	124.28	4.07
1000000	64	50	853.2	12.575	560.98	3.977
3162277	64	50	4103.46	19.723	2064.12	8.578
10000	128	50	2.18	0.517	2.04	0.28
31622	128	50	9.76	1.692	7.36	0.592
100000	128	50	37.26	1.809	28.44	1.235
316227	128	50	168.22	6.786	123.26	3.422
1000000	128	50	818.34	20.248	555.04	12.514
3162277	128	50	3959.96	48.662	2153.1	75.277
10000	256	50	2.44	0.697	2.04	0.28
31622	256	50	9.66	0.908	8.14	0.49
100000	256	50	43.08	2.489	33.34	1.193
316227	256	50	179.78	5.608	139.82	2.17
1000000	256	50	845.08	15.117	592.54	3.448
3162277	256	50	3744.04	22.073	2384.56	7.449
10000	512	50	3.1	0.458	2.38	0.596
31622	512	50	12.14	1.249	10.16	0.612
100000	512	50	49.52	2.109	39.16	1.461
316227	512	50	213.68	7.778	172.18	2.269
1000000	512	50	977.08	9.773	700.36	3.83
3162277	512	50	4270.98	18.495	2937.62	6.899
10000	1024	50	4.18	0.517	3.42	0.603
31622	1024	50	17.14	1.265	14.08	0.44
100000	1024	50	64.9	3.041	53.06	3.535
316227	1024	50	263.94	11.683	212.98	3.957
1000000	1024	50	1201.76	22.286	911.74	3.944
3162277	1024	50	5435.66	44.598	3982.96	25.26
