N,capacity,operation time[sec]
1000,4,0.0083452
1000,8,0.005792
1000,16,0.0057546
1000,32,0.0057606
1000,64,0.0057333
1000,128,0.0058046
1000,256,0.0056958
1000,512,0.0055996
1000,1024,0.0043906
3162,4,0.0065277
3162,8,0.0064973
3162,16,0.0063315
3162,32,0.0062532
3162,64,0.0061179
3162,128,0.0061834
3162,256,0.0061559
3162,512,0.0061141
3162,1024,0.0059155
10000,4,0.0090895
10000,8,0.0082856
10000,16,0.0080615
10000,32,0.0079959
10000,64,0.0081228
10000,128,0.0085641
10000,256,0.0087235
10000,512,0.00991
10000,1024,0.0094418
31622,4,0.018547
31622,8,0.0155374
31622,16,0.0150379
31622,32,0.0152154
31622,64,0.0149793
31622,128,0.0142896
31622,256,0.0149592
31622,512,0.0161669
31622,1024,0.0174937
100000,4,0.0584712
100000,8,0.0434297
100000,16,0.0384458
100000,32,0.0361042
100000,64,0.0347482
100000,128,0.0368112
100000,256,0.0359403
100000,512,0.0460301
100000,1024,0.0535335
316227,4,0.2261158
316227,8,0.1630994
316227,16,0.1331608
316227,32,0.1437012
316227,64,0.1194272
316227,128,0.1295168
316227,256,0.1397966
316227,512,0.1640102
316227,1024,0.2130364
1000000,4,1.0054277
1000000,8,0.6749954
1000000,16,0.5523654
1000000,32,0.5153327
1000000,64,0.5339904
1000000,128,0.5581553
1000000,256,0.7511393
1000000,512,0.9323045
1000000,1024,1.2914178
3162277,4,4.8508978
3162277,8,3.1349064
3162277,16,2.5772515
3162277,32,2.471155
3162277,64,2.8746406
3162277,128,2.9152317
3162277,256,3.7569037
3162277,512,5.2203205
3162277,1024,7.3957642
10000000,4,23.0520489
10000000,8,14.7054073
10000000,16,12.2429432
10000000,32,11.8241693
10000000,64,12.4063951
10000000,128,14.6850707
10000000,256,18.379694
10000000,512,26.3141808
10000000,1024,39.8612766
